Index,Predicted_Enrollment
0,1.3466538502460563
1,1.1517525566450588
2,1.9405903112455933
3,1.7885967794197515
4,1.7942586249598242
5,1.341982886285102
6,2.172867917809668
7,1.6873896422277361
8,1.7778227758497855
9,1.761797382182462
10,1.7481140380437745
11,1.294273433983005
12,1.4091932439105705
13,2.190185613925684
14,1.3604593173118154
15,1.3416773530245354
16,1.4497226644834027
17,1.2611977545006356
18,1.2962322555950636
19,1.7928551534046953
20,1.4936711995945706
21,1.2402528675373377
22,1.8727586392444198
23,1.3900771250631365
24,2.0855306924238812
25,1.0712210093140972
26,1.1467420634972094
27,1.628469246708368
28,1.6567844552222741
29,1.4095984807998925
30,1.336279198810596
31,2.5802635154666365
32,2.0451256421697166
33,1.742890703614615
34,2.4364554388860173
35,1.8054530383314165
36,1.3907227863313374
37,2.7608343231668533
38,2.0180292416133105
39,1.5493134854977526
40,2.074418646852092
41,1.3786444675633385
42,1.76626474190975
43,1.215863230889202
44,1.698642490876649
45,2.2054809876315526
46,1.5027700566451778
47,1.398894800906115
48,1.4558590887420428
49,1.1415587079522547
50,1.3767395413192187
51,2.1315437394478796
52,2.0395275830162487
53,1.6811681752407597
54,1.6745262322283225
55,1.349274647950931
56,2.1182189930902213
57,1.738143553972913
58,2.0028845038090317
59,1.5497934613282496
60,1.7840737611756468
61,1.3726911273384068
62,1.626424692760083
63,1.8709877153450705
64,1.4238898924502286
65,1.999507061947956
66,1.4828954483350756
67,1.4320988907163927
68,1.6171091515474822
69,1.4231617448137284
70,1.7731142172781202
71,1.606256613293204
72,1.7488908843223028
73,1.419507062417988
74,1.6330482134884527
75,1.75314246866701
76,1.9936343877732796
77,1.5272814183882892
78,1.5756895819983254
79,1.7401397865237889
80,1.3976082713601357
81,1.4393114945270111
82,1.5313938925281732
83,1.914575806929202
84,1.4348503832714212
85,2.0195790801120803
86,1.3473089690991464
87,1.3272336350499934
88,1.4320155074837364
89,1.7644456057951994
90,1.538892399992281
91,1.812858169735632
92,1.338535298507381
93,1.9123779459666352
94,1.3878807634431853
95,1.404336151630504
96,2.0327847726190877
97,1.3572265570903506
98,1.7619971484699661
99,1.6948954697657275
100,1.5164498227209358
101,1.709869247598074
102,1.7372690682094325
103,1.5655792650758926
104,1.4616756506020183
105,1.560613600781364
106,1.5063735758207468
107,1.8167913090687215
108,1.4839445605165975
109,1.6497296629549236
110,1.80147947509854
111,1.5027518167351592
112,1.916586874772876
113,1.786594750677145
114,1.9209203667870745
115,2.4546049992580414
116,1.839310678680572
117,1.8725298746714896
118,1.3926389275491187
119,1.6230321344890382
120,1.6374354354287421
121,1.3551430783209475
122,1.3741369119501108
123,1.552713830809992
124,1.6724738642560049
125,1.6502636030187474
126,1.3702479527860079
127,1.488050681347094
128,1.8139504473368726
129,1.3294488624444076
130,1.2469735425785955
131,1.2967273038366232
132,2.1895036256364087
133,4.102238958472976
134,2.7324032010180246
135,3.001406307510208
136,2.166143816473767
137,1.8248101812525883
138,2.433333419645986
139,2.043786939856102
140,2.6933178272217253
141,3.5353884629496664
142,2.0980268216947433
143,3.3280933058355826
144,1.9819207034700081
145,1.9034988694075166
146,1.717707309784823
147,2.4254357856636926
148,1.7114892365965668
149,2.9365059102751565
150,2.779426217110111
151,2.500724769999631
152,2.051536571192318
153,2.733978393999072
154,2.031042593351488
155,1.8818448796157494
156,2.4349122977330486
157,2.046391271747411
158,2.746380098333858
159,2.4264049316934733
160,1.6928990309844791
161,2.222185192581535
162,1.912832335448532
163,2.0134186121745876
164,1.6774945428306862
165,1.6972283608344307
166,1.9561788874683201
167,1.1918202305735202
168,2.6993343291643863
169,1.1753416062704856
170,1.6673752973064222
171,1.301292184346857
172,3.1196351475163753
173,3.499072261429124
174,2.0212252558844654
175,2.1764690898112873
176,1.488000781625782
177,3.7489320806538937
178,3.2156890689719626
179,1.69250759909264
180,1.8200650725925065
181,2.2985403032852885
182,2.0501476098058586
183,1.157125153675725
184,1.9515597182405662
185,2.2689055537227327
186,3.5165050901693404
187,3.7946751443001427
188,2.1275028782954215
189,2.7392485569985574
190,1.6337457482083937
191,1.8702868661333372
192,2.802518368955155
193,2.1550904521375345
194,1.5764431512477852
195,1.6757796290138094
196,3.1145483768931723
197,2.7870145766801495
198,2.7379985588573073
199,2.264727770542263
200,2.8640781104180677
201,1.7991870126516472
202,2.320613950797527
203,1.2352347995587087
204,1.397427528027528
205,2.2194500072844936
206,2.397962655097029
207,1.571236272358532
208,3.463291258923217
209,2.738214823545997
210,2.9595347975448827
211,2.647091674550566
212,2.627492547011949
213,4.089690664334322
214,2.5649173988453486
215,1.052329110243509
216,1.4636656759806705
217,1.551041098161039
218,1.187775629579509
219,2.280567478265468
220,2.3568549374408327
221,3.1630519541691227
222,3.24440267588857
223,3.088244333383025
224,1.1355224522013316
225,1.552024429980979
226,2.8518095176926646
227,4.08957605453542
228,2.869886575018346
229,2.606569205821813
230,3.637303708776311
231,1.5001664489898183
232,5.221711940836943
233,2.7725302483746357
234,2.5001934695859465
235,1.3760673176331266
236,2.6949103278792723
237,1.2688386828891327
238,1.713062617511956
239,1.9333866631182992
240,2.42193621713762
241,2.288536187162982
242,2.371429916751172
243,1.5129682231674926
244,2.037380501735865
245,1.3017705480142339
246,2.3866268192051017
247,3.171746143383096
248,1.303118747102571
249,2.6400455268839975
250,1.8539225311044294
251,1.7522945950189208
252,2.29173035042501
253,2.165995772949932
254,1.4071051309879592
255,1.9995441417473137
256,1.6194522880805307
257,2.8426195936203174
258,1.915836365634422
259,2.0799374947679086
260,1.7933846186619977
261,2.111602804621169
262,2.6683130620493465
263,2.275443799764142
264,2.1819662491684633
265,2.664358460467435
266,1.8442329633007017
267,3.500160363785915
268,2.379361594919438
269,1.72849635654797
270,1.8758190897003442
271,1.899140160292876
272,1.80918972000222
273,2.0347134057215093
274,1.8467113993346902
275,1.6995198302025627
276,2.7791192600675036
277,2.161507325244003
278,1.5542623545027987
279,1.8001556481223153
280,1.9260412203603345
281,2.877089105705927
282,2.5028069194570386
283,1.5924642795213588
284,1.7020864627787353
285,2.417403613745245
286,1.6218545738146448
287,2.5962888317646184
288,1.6491091464926586
289,1.3983090490855752
290,1.717830284016169
291,1.475531472801172
292,1.8647784770271971
293,1.9811881819662691
294,2.830008759036435
295,1.9658274616815359
296,1.6927740543163743
297,1.7949501709059297
298,1.8511673384298346
299,3.6000822860248265
300,1.9752083755182672
301,1.827858713567416
302,2.306977193142926
303,4.047434523809523
304,2.3602444024797706
305,2.52447737420848
306,2.8463480604096203
307,1.1418558037338282
308,1.690831848894707
309,1.1829297682995976
310,1.3778595292990063
311,1.8420045513833554
312,1.91576876759201
313,1.3301921184474932
314,1.2413996202255393
315,1.255930590161293
316,1.562835052033539
317,1.1911411749243914
318,1.7859792224410416
319,1.8769606803780159
320,1.1230099249165493
321,2.4316643330592935
322,1.4807921150841217
323,1.7104224018959755
324,2.3454617408922913
325,2.436265773233276
326,1.5444749829155773
327,1.4730962719377538
328,1.3355946493165107
329,2.023177524333727
330,1.3542871847203215
331,1.2411304997882688
332,1.3897292404286903
333,1.2983314529741898
334,1.718102759031543
335,1.5371247039818237
336,1.4674355143021145
337,1.5873825910406043
338,2.4118559849547623
339,1.8347617111787877
340,1.396294413179442
341,1.7493149247774653
342,1.3748480911335532
343,1.3789402996776072
344,1.6906609873108283
345,1.789394202517051
346,1.50060663079905
347,1.5903708383567516
348,1.675157446566553
349,1.35903479345357
350,1.298943755999659
351,1.456419839128821
352,1.3566833618377367
353,1.3597989975790972
354,1.5518524546673635
355,1.4397995562783523
356,1.4941382953259796
357,1.4909294601122918
358,1.6256078091601176
359,1.395882469661733
360,1.3723330375663483
361,1.6814585064841945
362,1.3869379587467854
363,1.680696392595195
364,1.720052440401988
365,2.253977104169974
366,1.547283992480354
367,1.6287457954109101
368,1.360477338474425
369,1.2225525642218327
370,1.6313227933020427
371,1.673728356575361
372,1.427548530851328
373,1.3455462112533447
374,1.271635304146035
375,1.3390871746652366
376,1.2368357051497123
377,1.3567144918874934
378,1.6755348238304169
379,1.5563825719154734
380,1.1688681660559577
381,1.4045369150891833
382,1.527085598070741
383,1.9494891822589162
384,1.9923893102553873
385,1.2189858143271766
386,1.5470071015618572
387,1.291278637266914
388,1.4139577867788031
389,1.531348243983197
390,1.375672299613862
391,1.4606196974517085
392,3.3413594859547198
393,3.77678730548615
394,2.221837395222291
395,3.1858136561537354
396,3.8483075121559565
397,3.7270890514753647
398,3.415219696077213
399,2.7736305823602287
400,2.8068506700367113
401,2.071779242508876
402,2.542066168399551
403,2.0857273369593003
404,3.1449864245567913
405,2.0086951789191927
406,3.27480571052881
407,3.546770073308736
